Transect No.,County,Site,Site function,Transect type,Drag round,Year,Date,Habitat type CONCAT,Temp (F),RH (%),Longitude Start,Latitude Start,GPS Start,GPS End,Start Time,End Time,Collectors,Amblyomma americanum ADULT,Amblyomma americanum NYMPH,Amblyomma americanum LARVA,Amblyomma maculatum ADULT,Amblyomma maculatum NYMPH,Amblyomma maculatum LARVA,Dermacentor albipictus ADULT,Dermacentor albipictus NYMPH,Dermacentor albipictus LARVA,Dermacentor variabilis ADULT,Dermacentor variabilis NYMPH,Dermacentor variabilis LARVA,Haemaphysalis leporispalustris ADULT,Haemaphysalis leporispalustris NYMPH,Haemaphysalis leporispalustris LARVA,Haemaphysalis longicornis ADULT,Haemaphysalis longicornis NYMPH,Haemaphysalis longicornis LARVA,Ixodes scapularis ADULT,Ixodes scapularis NYMPH,Ixodes scapularis LARVA,Rhipicephalus sanguineus ADULT,Rhipicephalus sanguineus NYMPH,Rhipicephalus sanguineus LARVA,Unknown ADULT,Unknown NYMPH,Unknown LARVA,Unknown UNKNOWN,Total,Overall Notes
23-2103,Queens,Alley Pond Park,Mixed Use,,2,2023,Jul/12/2023,", , , , , , , , ,",79,70,-73.74053,40.74382,"40.74382, -73.74053","40.74368, -73.73912",10:15 AM,10:30 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3162,Queens,Alley Pond Park,Mixed Use,Interior,2,2023,Jul/12/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",84,57,-73.7364732,40.7424879,"40.7424879, -73.7364732","40.7431366, -73.7359412",9:53 AM,10:11 AM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6161,Queens,Alley Pond Park,Mixed Use,Trail,2,2023,Jul/12/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",82.6,64,-73.7397774,40.7437986,"40.7437986, -73.7397774","40.7445764, -73.7396875",9:54 AM,10:05 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6162,Queens,Alley Pond Park,Mixed Use,Interior,2,2023,Jul/12/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",82.6,64,-73.7394572,40.744533,"40.7445330, -73.7394572","40.7440150, -73.7394418",10:09 AM,10:22 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6163,Queens,Alley Pond Park,Mixed Use,Edge,2,2023,Jul/12/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",87.5,49.8,-73.7388651,40.7431432,"40.7431432, -73.7388651","40.7432929, -73.7376655",10:48 AM,10:57 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-8052,Queens,Alley Pond Park,Mixed Use,Edge,2,2023,Jul/12/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",82.6,64,-73.7389868,40.7431991,"40.7431991, -73.7389868","40.7430432, -73.7402867",9:52 AM,10:01 AM,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3056B,Staten Island,Arden Heights Woods,hiking/ trails,Interior,1,2023,Jun/14/2023,"Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",79,47,-74.1806792,40.5580626,"40.5580626, -74.1806792","40.5581288, -74.1814625",12:18 PM,12:35 PM,Alexis Angulo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,
23-3057,Staten Island,Arden Heights Woods,hiking/ trails,Interior,1,2023,Jun/14/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter, , , , , ,",79,47,-74.1814356,40.557976,"40.5579760, -74.1814356","40.5578097, -74.1824438",12:42 PM,12:55 PM,Alexis Angulo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,
23-6057,Staten Island,Arden Heights Woods,Hiking/ trails,Interior,1,2023,Jun/14/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, , , ,",79,47,-74.181953,40.5581864,"40.5581864, -74.1819530",-,12:39 PM,12:50 PM,RK,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,12,
23-7057,Staten Island,Arden Heights Woods,Trails,Trail,1,2023,Jun/14/2023,"Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous",77,47,-74.18061,40.55809,"40.55809, -74.18061","40.55839, -74.18119",12:15 PM,12:33 PM,Aidyn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,
23-7058,Staten Island,Arden Heights Woods,Trails,Interior,1,2023,Jun/14/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, ,",77,47,-74.18146,40.5581,"40.55810, -74.18146","40.55811, -74.18240",12:38 PM,-,Aidyn,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,
23-0091,Staten Island,Arden Heights Woods,,Trail,2,2023,Jul/03/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",86.5,63.5,-74.18195,40.55903,"40.55903, -74.18195",,4:32 PM,4:47 PM,Marie Lilly,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,10,
23-0092,Staten Island,Arden Heights Woods,,Interior,2,2023,Jul/03/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",90,62.4,-74.18288,40.55929,"40.55929, -74.18288","40.55893, -74.18204",4:47 PM,5:11 PM,Marie Lilly,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,13,
23-0093,Staten Island,Arden Heights Woods,,Edge,2,2023,Jul/03/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",90.4,57.1,-74.18082,40.55811,"40.55811, -74.18082",,5:20 PM,5:38 PM,Marie Lilly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,15,
23-3120,Staten Island,Arden Heights Woods,Woods,Interior,2,2023,Jul/03/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",87,65,-74.1808663,40.5588604,"40.5588604, -74.1808663","40.5591291, -74.1819620",12:00 PM,12:20 PM,Alexis Angulo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
23-3121,Staten Island,Arden Heights Woods,Woods,Interior,2,2023,Jul/03/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",87,65,-74.1819885,40.5592437,"40.5592437, -74.1819885","40.5591582, -74.1808955",12:55 PM,1:20 PM,Alexis Angulo,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,
23-6131,Staten Island,Arden Heights Woods,Woods,Trail,2,2023,Jul/03/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",84.2,61.9,-74.1810698,40.559286,"40.5592860, -74.1810698","40.5592618, -74.1820562",12:31 PM,12:49 PM,RK,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,
23-6132,Staten Island,Arden Heights Woods,Woods,Interior,2,2023,Jul/03/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",84.2,61.9,-74.1820069,40.5594521,"40.5594521, -74.1820069","40.5595879, -74.1807835",12:55 PM,1:12 PM,RK,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,
23-6133,Staten Island,Arden Heights Woods,Trails,Interior,2,2023,Jul/03/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",,,-74.1814551,40.5580906,"40.5580906, -74.1814551","40.5582832, -74.1822423",1:28 PM,1:40 PM,"RK, AL",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,
23-0028B,Nassau,Bailey Arboretum,Preserve / Arboretum,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",70,58,,,,,4:10 PM,4:44 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,
23-0029,Nassau,Bailey Arboretum,Preserve / Arboretum,Interior,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",70,58,,,,,4:45 PM,5:14 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,
23-3062,Nassau,Bailey Arboretum,mixed use garden,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",70,58,-73.5830643,40.8883324,"40.8883324, -73.5830643","40.8875892, -73.5835049",12:26 PM,12:47 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,
23-3063,Nassau,Bailey Arboretum,mixed use garden,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",70,58,-73.5824383,40.8867202,"40.8867202, -73.5824383","40.8871797, -73.5835018",12:51 PM,1:10 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some of the nymphs are actually larva
23-6062,Nassau,Bailey Arboretum,garden/ mixed use,Trail,1,2023,Jun/15/2023,"Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Unmaintained herbaceous and leaf litter",73,53,-73.5837271,40.8891975,"40.8891975, -73.5837271","40.8896007, -73.5835749",12:23 PM,12:37 PM,RK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
23-6063,Nassau,Bailey Arboretum,garden/ mixed use,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",73,53,-73.5838277,40.8893057,"40.8893057, -73.5838277","40.8893916, -73.5843015",12:42 PM,1:00 PM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,v shaped transnect
23-7063,Nassau,Bailey Arboretum,mixed use garden,Edge,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",70,58,-73.58466,40.88928,"40.88928, -73.58466","40.88844, -73.58450",12:19 PM,12:37 PM,Aidyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,
23-7064,Nassau,Bailey Arboretum,mixed use garden,Edge,1,2023,Jun/15/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous, Unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",70,58,-73.5842,40.88815,"40.88815, -73.58420","40.88770, -73.58473",12:39 PM,-,Aidyn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,
23-1087,Suffolk,Bayard Cutting Arboretum,,Edge,1,2023,Jun/21/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",70.5,61.1,-73.1584911,40.7455831,"40.7455831, -73.1584911","40.7466697, -73.1586165",1:31 PM,1:46 PM,SJL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2.3 mph
23-1088,Suffolk,Bayard Cutting Arboretum,,Interior,1,2023,Jun/21/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",70.5,61.1,-73.154798,40.749064,"40.749064, -73.154798","40.748651, -73.155726",2:15 PM,2:39 PM,SJL,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,32,high herbaceous2.3 mph
23-3085,Suffolk,Bayard Cutting Arboretum,,Edge,1,2023,Jun/21/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",70.3,58.6,-73.1583958,40.7455063,"40.7455063, -73.1583958","40.7453905, -73.1592934",1:30 PM,1:41 PM,Alexis Angulo,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.5 mph
23-3086,Suffolk,Bayard Cutting Arboretum,,Trail,1,2023,Jun/21/2023,"Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter",70.3,58.6,-73.1547051,40.7491178,"40.7491178, -73.1547051","40.7488612, -73.1556506",2:17 PM,2:37 PM,Alexis Angulo,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36,0.5 mph
