Transect No,Species,Stage,Sex (if adult)
25-0033,Ixodes scapularis,Nymph,
25-0033,Ixodes scapularis,Nymph,
25-0033,Ixodes scapularis,Nymph,
25-0030,Amblyomma americanum,Nymph,
25-0030,Haemaphysalis longicornis,Nymph,
25-0030,Haemaphysalis longicornis,Nymph,
25-1034,Haemaphysalis longicornis,Nymph,
25-1034,Haemaphysalis longicornis,Adult,Female
25-1034,Ixodes scapularis,Nymph,
25-1031,Amblyomma americanum,Adult,Male
25-1031,Ixodes scapularis,Nymph,
25-2019,Amblyomma americanum,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Haemaphysalis longicornis,Nymph,
25-2020,Ixodes scapularis,Nymph,
25-0032,Amblyomma americanum,Nymph,
25-0032,Amblyomma americanum,Nymph,
25-0032,Ixodes scapularis,Nymph,
25-0032,Haemaphysalis longicornis,Larva,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Nymph,
25-0032,Haemaphysalis longicornis,Adult,Female
25-0032,Haemaphysalis longicornis,Larva,
25-0032,Haemaphysalis longicornis,Larva,
25-0032,Haemaphysalis longicornis,Larva,
25-0032,Haemaphysalis longicornis,Larva,
25-0013,Haemaphysalis longicornis,Nymph,
25-0013,Haemaphysalis longicornis,Nymph,
25-0013,Dermacentor variabilis,Adult,Female
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-0013,Ixodes scapularis,Nymph,
25-2018,Ixodes scapularis,Nymph,
25-2018,Ixodes scapularis,Nymph,
25-2018,Ixodes scapularis,Nymph,
25-1019,Dermacentor variabilis,Adult,Male
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Dermacentor variabilis,Adult,Female
25-1019,Amblyomma americanum,Nymph,
25-1019,Amblyomma americanum,Nymph,
25-1019,Amblyomma americanum,Nymph,
25-1019,Haemaphysalis longicornis,Nymph,
25-1019,Haemaphysalis longicornis,Nymph,
25-1019,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Adult,Female
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-0018,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-1013,Ixodes scapularis,Nymph,
25-0024,Dermacentor variabilis,Adult,Female
25-1021,Ixodes scapularis,Nymph,
25-1021,Ixodes scapularis,Nymph,
25-1021,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Adult,Male
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-2010,Ixodes scapularis,Nymph,
25-1003,Amblyomma americanum,Nymph,
25-1003,Haemaphysalis longicornis,Nymph,
25-1003,Haemaphysalis longicornis,Nymph,
25-1003,Haemaphysalis longicornis,Nymph,
25-1003,Ixodes scapularis,Nymph,
25-0004,Dermacentor variabilis,Adult,Male
25-0004,Dermacentor variabilis,Adult,Male
25-0004,Haemaphysalis longicornis,Nymph,
25-0021,Ixodes scapularis,Nymph,
25-2013,Haemaphysalis longicornis,Nymph,
25-2013,Ixodes scapularis,Nymph,
SL-0005,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-2011,Ixodes scapularis,Nymph,
25-1006,Ixodes scapularis,Nymph,
25-1006,Ixodes scapularis,Nymph,
25-1006,Ixodes scapularis,Nymph,
25-1006,Ixodes scapularis,Nymph,
25-1018,Dermacentor variabilis,Adult,Male
25-1018,Dermacentor variabilis,Adult,Female
25-1030,_,,
SL-0012,Ixodes scapularis,Nymph,
25-0003,Ixodes scapularis,Nymph,
25-0003,Ixodes scapularis,Nymph,
25-0003,Ixodes scapularis,Nymph,
25-0003,Ixodes scapularis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0003,Haemaphysalis longicornis,Nymph,
25-0006,Ixodes scapularis,Nymph,
25-0006,Amblyomma americanum,Adult,Male
25-0002,Haemaphysalis longicornis,Larva,
25-0002,Haemaphysalis longicornis,Larva,
25-0002,Haemaphysalis longicornis,Larva,
25-0002,Amblyomma americanum,Nymph,
25-0002,Amblyomma americanum,Nymph,
25-0002,Amblyomma americanum,Nymph,
25-0002,Amblyomma americanum,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-0002,Haemaphysalis longicornis,Nymph,
25-1007,Ixodes scapularis,Nymph,
25-1007,Ixodes scapularis,Nymph,
25-1007,Amblyomma americanum,Adult,Male
25-1007,Amblyomma americanum,Adult,Male
25-1007,Amblyomma americanum,Nymph,
25-1007,Amblyomma americanum,Nymph,
25-1007,Amblyomma americanum,Nymph,
25-1007,Amblyomma americanum,Nymph,
25-1007,Amblyomma americanum,Nymph,
25-1007,Amblyomma americanum,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Haemaphysalis longicornis,Nymph,
25-5001,Amblyomma americanum,Nymph,
25-5001,Amblyomma americanum,Nymph,
25-5001,Amblyomma americanum,Nymph,
25-5001,Haemaphysalis longicornis,Larva,
25-5001,Haemaphysalis longicornis,Larva,
25-5001,Haemaphysalis longicornis,Larva,
25-5001,Haemaphysalis longicornis,Larva,
25-5001,Haemaphysalis longicornis,Larva,
SL-0001/0002,Haemaphysalis longicornis,Adult,Female
SL-0001/0002,Haemaphysalis longicornis,Adult,Female
SL-0001/0002,Ixodes scapularis,Nymph,
SL-0001/0002,Ixodes scapularis,Nymph,
SL-0001/0002,Amblyomma americanum,Nymph,
SL-0001/0002,Amblyomma americanum,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Nymph,
SL-0001/0002,Haemaphysalis longicornis,Larva,
SL-0001/0002,Haemaphysalis longicornis,Larva,
SL-0001/0002,Haemaphysalis longicornis,Larva,
25-0005,Amblyomma americanum,Adult,
25-0005,Amblyomma americanum,Nymph,
25-0005,Ixodes scapularis,Nymph,
25-0016,Dermacentor variabilis,Adult,Female
25-0016,Ixodes scapularis,Nymph,
25-0016,Ixodes scapularis,Nymph,
25-0016,Ixodes scapularis,Nymph,
25-0016,Ixodes scapularis,Nymph,
25-0016,Ixodes scapularis,Nymph,
25-2001,Amblyomma americanum,Nymph,
25-2001,Haemaphysalis longicornis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0014,Ixodes scapularis,Nymph,
25-0001,Ixodes scapularis,Nymph,
25-0001,Ixodes scapularis,Nymph,
25-0001,Amblyomma americanum,Adult,Male
25-0001,Amblyomma americanum,Nymph,
25-0001,Amblyomma americanum,Nymph,
25-0001,Haemaphysalis longicornis,Nymph,
25-0001,Haemaphysalis longicornis,Nymph,
25-0001,Haemaphysalis longicornis,Nymph,
25-0001,Haemaphysalis longicornis,Nymph,
25-0001,Haemaphysalis longicornis,Nymph,
25-1008,Ixodes scapularis,Nymph,
25-1008,Amblyomma americanum,Adult,Male
25-1008,Amblyomma americanum,Adult,Female
25-1008,Amblyomma americanum,Nymph,
25-1008,Amblyomma americanum,Nymph,
25-1012,Ixodes scapularis,Nymph,
25-1012,Ixodes scapularis,Nymph,
25-1023,Ixodes scapularis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-1004,Haemaphysalis longicornis,Nymph,
25-2004,Ixodes scapularis,Nymph,
25-2004,Ixodes scapularis,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-2004,Amblyomma americanum,Nymph,
25-1032,Haemaphysalis longicornis,Nymph,
25-1032,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Adult,Male
25-2012,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Nymph,
25-2012,Ixodes scapularis,Nymph,
25-0007,Ixodes scapularis,Nymph,
25-0007,Ixodes scapularis,Nymph,
25-0007,Amblyomma americanum,Adult,Female
25-0007,Amblyomma americanum,Adult,Female
25-0007,Ixodes scapularis,Adult,Male
25-0007,Amblyomma americanum,Nymph,
25-0007,Amblyomma americanum,Nymph,
25-0007,Amblyomma americanum,Nymph,
25-0007,Amblyomma americanum,Nymph,
25-0007,Amblyomma americanum,Nymph,
25-0007,Amblyomma americanum,Nymph,
25-0007,Haemaphysalis longicornis,Nymph,
25-0007,Haemaphysalis longicornis,Nymph,
25-2003,Ixodes scapularis,Nymph,
25-2003,Ixodes scapularis,Nymph,
25-2003,Ixodes scapularis,Nymph,
25-2003,Ixodes scapularis,Nymph,
25-2003,Haemaphysalis longicornis,Nymph,
25-2003,Haemaphysalis longicornis,Nymph,
25-2003,Haemaphysalis longicornis,Nymph,
25-2003,Haemaphysalis longicornis,Nymph,
25-2003,Haemaphysalis longicornis,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-2003,Amblyomma americanum,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-0010,Ixodes scapularis,Nymph,
25-2008,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-1014,Ixodes scapularis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-2002,Haemaphysalis longicornis,Nymph,
25-0011,Ixodes scapularis,Nymph,
25-0011,Ixodes scapularis,Nymph,
25-0011,Ixodes scapularis,Nymph,
25-2009,Ixodes scapularis,Nymph,
25-2009,Ixodes scapularis,Nymph,
25-2009,Ixodes scapularis,Nymph,
25-2009,Ixodes scapularis,Nymph,
SL-0006,Ixodes scapularis,Nymph,
SL-0006,Haemaphysalis longicornis,Nymph,
SL-0006,Haemaphysalis longicornis,Nymph,
SL-0006,Haemaphysalis longicornis,Nymph,
SL-0006,Haemaphysalis longicornis,Nymph,
SL-0006,Haemaphysalis longicornis,Nymph,
25-2012,Haemaphysalis longicornis,Nymph,
25-2012,Haemaphysalis longicornis,Nymph,
25-2007,Ixodes scapularis,Nymph,
25-2007,Ixodes scapularis,Nymph,
25-2007,Ixodes scapularis,Nymph,
25-2007,Ixodes scapularis,Nymph,
25-2005,Haemaphysalis longicornis,Nymph,
Training day 2025,Ixodes scapularis,Nymph,
Training day 2025,Ixodes scapularis,Nymph,
Training day 2025,Ixodes scapularis,Nymph,
Training day 2025,Ixodes scapularis,Nymph,
Training day 2025,Ixodes scapularis,Nymph,
CH Extra,Haemaphysalis longicornis,Nymph,
25-2022,Ixodes scapularis,Nymph,
25-2022,Amblyomma americanum,Adult,Female
25-2022,Amblyomma americanum,Nymph,
25-2022,Amblyomma americanum,Nymph,
25-2022,Haemaphysalis longicornis,Nymph,
25-2022,Haemaphysalis longicornis,Nymph,
25-2022,Haemaphysalis longicornis,Nymph,
25-2022,Haemaphysalis longicornis,Nymph,
25-2022,Haemaphysalis longicornis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Ixodes scapularis,Nymph,
25 CH MVL,Amblyomma americanum,Adult,Male
25 CH MVL,Amblyomma americanum,Adult,Male
25 CH MVL,Amblyomma americanum,Adult,Male
25 CH MVL,Amblyomma americanum,Adult,Female
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Haemaphysalis longicornis,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Amblyomma americanum,Nymph,
25 CH MVL,Haemaphysalis longicornis,Larva,
25 CH MVL,Amblyomma americanum,Nymph,
Lemon Creek X,Amblyomma americanum,Nymph,
25-1065,Haemaphysalis longicornis,Adult,Female
25-1065,Ixodes scapularis,Adult,Female
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1062,Ixodes scapularis,Adult,Female
25-1062,Ixodes scapularis,Nymph,
25-1062,Ixodes scapularis,Nymph,
25-1062,Ixodes scapularis,Nymph,
25-1062,Ixodes scapularis,Nymph,
25-1062,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Nymph,
25-0045,Ixodes scapularis,Adult,Female
25-0045,Ixodes scapularis,Adult,Female
25-0045,Ixodes scapularis,Adult,Female
25-1066,Ixodes scapularis,Nymph,
25-1066,Ixodes scapularis,Nymph,
25-1066,Ixodes scapularis,Nymph,
25-1066,Ixodes scapularis,Adult,Male
25-1066,Ixodes scapularis,Adult,Female
25-1066,Ixodes scapularis,Nymph,
25-2029,Dermacentor variabilis,Adult,Female
25-2029,Haemaphysalis longicornis,Nymph,
25-1065,Haemaphysalis longicornis,Adult,Female
25-1065,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-0116,Ixodes scapularis,Nymph,
25-2073,Haemaphysalis longicornis,Nymph,
25-0111,Ixodes scapularis,Nymph,
25-0111,Ixodes scapularis,Nymph,
25-0111,Ixodes scapularis,Nymph,
25-0111,Ixodes scapularis,Nymph,
25-0111,Amblyomma americanum,Nymph,
25-0108,Ixodes scapularis,Nymph,
25-1125-1,Ixodes scapularis,Nymph,
25-1125-2,Haemaphysalis longicornis,Nymph,
SL-0025,Ixodes scapularis,Nymph,
25-0105,Amblyomma maculatum,Nymph,
25-0082,Amblyomma americanum,Adult,Female
25-0082,Amblyomma americanum,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-1,Ixodes scapularis,Nymph,
25-0089-2,Amblyomma americanum,Nymph,
25-0089-2,Amblyomma americanum,Nymph,
25-0089-2,Amblyomma americanum,Nymph,
25-0089-2,Amblyomma americanum,Nymph,
25-0089-2,Haemaphysalis longicornis,Nymph,
25-0089-2,Haemaphysalis longicornis,Nymph,
25-2075-1,Ixodes scapularis,Nymph,
25-2075-1,Ixodes scapularis,Nymph,
25-2075-2,Amblyomma maculatum,Nymph,
25-2075-2,Amblyomma maculatum,Nymph,
25-2075-2,Amblyomma maculatum,Nymph,
25-2075-2,Amblyomma maculatum,Nymph,
