Site,Transect type,Date,Transect No.,Section,Habitat type,Temperature,Relative Humidity,GPS Start,GPS End,Start Time,End Time,Collector,Notes
Fairview Park,Edge,Jun/06/2025,25-1075,1,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,2,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,3,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,4,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,5,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,6,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,7,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,8,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,9,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1075,10,Unmaintained herbaceous,71.7,74.7,"40.531807, -74.233016","40.531438, -74.231163",7:55 AM,8:24 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,1,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,2,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,3,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,4,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,5,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,6,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,7,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,8,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,9,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Fairview Park,Edge,Jun/06/2025,25-1076,10,Unmaintained herbaceous,77.7,62.3,"40.531942, -74.231866","40.531886, -74.230776",8:27 AM,8:48 AM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,1,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,2,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,3,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,4,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,5,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,6,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,7,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,8,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,9,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Trail,Jun/05/2025,25-1070,10,Unmaintained herbaceous and leaf litter,83.4,59.1,"40.855153, -73.567659","40.855166, -73.567122",11:52 AM,12:07 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,1,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,2,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,3,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,4,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,5,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,6,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,7,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,8,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,9,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Hope G.I.P.,Interior,Jun/05/2025,25-1071,10,Unmaintained herbaceous and leaf litter,83.1,60.8,"40.854419,-73.567208","40.859948, -73.567830",12:12 PM,12:31 PM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,1,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,2,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,3,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,4,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,5,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,6,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,7,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,8,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,9,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Trail,Jun/06/2025,25-1080,10,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:23 AM,10:39 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,1,Unmaintained herbaceous and leaf litter,79.8,62.4,"40.522839, -74.203382","40.522194,-74.203910",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,2,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,3,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,4,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,5,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,6,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,7,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,8,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,9,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Lemon Creek Park,Interior,Jun/06/2025,25-1081,10,Unmaintained herbaceous and leaf litter,79.9,62.8,"40.522839, -74.203382","40.522473, -74.203858",10:42 AM,10:54 AM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,1,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,2,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,3,Unmaintained herbaceous and leaf litter,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,4,Maintained grass and unmaintained herb and leaf litter,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,5,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,6,Maintained grass and unmaintained herb and leaf litter,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,7,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,8,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,9,Maintained grass and unmaintained herbaceous,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1085,10,Maintained grass and unmaintained herb and leaf litter,82.8,57.7,"40.577843,-74.190934","40.518070, -74.189934",11:48 AM,12:03 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,1,Maintained grass and unmaintained herb and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,2,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,3,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,4,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,5,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,6,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,7,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,8,Unmaintained herbaceous and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,9,Maintained grass and unmaintained herb and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Wolfe's Pond Park,Edge,Jun/06/2025,25-1086,10,Maintained grass and unmaintained herb and leaf litter,77.6,70.6,"40.518081, -74.189918","40.518947, -74.189233",12:06 PM,12:28 PM,Noah Edelman,
Fairview Park,Interior,Jun/06/2025,25-0055,1,Unmaintained herbaceous,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,2,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,3,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,4,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,5,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,6,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,7,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,8,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,9,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0055,10,Unmaintained herbaceous and leaf litter,75,69.9,"40.5315769, -74.2297033",Missing,8:00 AM,8:25 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,1,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,2,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,3,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,4,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,5,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,6,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,7,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,8,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,9,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0056,10,Unmaintained herbaceous and leaf litter,74.4,61.8,"40.5319158, -74.2305782","40.5323006, -74.2308801",8:25 AM,8:45 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,1,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,2,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,3,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,4,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,5,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,6,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,7,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,8,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,9,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Fairview Park,Interior,Jun/06/2025,25-0057,10,Unmaintained herbaceous and leaf litter,81,57.9,"40.532651, -74.2304218","40.532705, -74.231003",8:50 AM,9:10 AM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,1,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,2,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,3,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,4,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,5,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,6,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,7,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
Hope G.I.P.,Trail,Jun/05/2025,25-0048,8,Unmaintained herbaceous and leaf litter,81.9,61.5,"40.8538180, -73.5661785","40.8527096, -73.5656155",11:55 AM,12:20 PM,Rob Gullery,
